0.3, 1
0.15, 2
0.24, 4
0.18, 8
0.18, 16
0.12, 32
0.19, 64
0.18, 128
0.18, 256
0.18, 512
0.18, 1024
0.24, 2048
0.18, 1
0.12, 2
0.12, 4
0.12, 8
0.18, 16
0.19, 32
0.18, 64
0.17, 128
0.19, 256
0.24, 512
0.25, 1024
0.3, 2048
0.19, 1
0.17, 2
0.18, 4
0.19, 8
0.18, 16
0.18, 32
0.18, 64
0.24, 128
0.18, 256
0.24, 512
0.18, 1024
0.18, 2048
0.17, 1
0.11, 2
0.13, 4
0.18, 8
0.18, 16
0.19, 32
0.18, 64
0.19, 128
0.18, 256
0.25, 512
0.23, 1024
0.25, 2048
0.18, 1
0.18, 2
0.18, 4
0.18, 8
0.24, 16
0.18, 32
0.19, 64
0.19, 128
0.18, 256
0.24, 512
0.25, 1024
0.24, 2048
0.17, 1
0.18, 2
0.31, 4
0.24, 8
0.18, 16
0.19, 32
0.18, 64
0.18, 128
0.17, 256
0.18, 512
0.18, 1024
0.3, 2048
0.18, 1
0.18, 2
0.18, 4
0.18, 8
0.18, 16
0.18, 32
0.19, 64
0.18, 128
0.18, 256
0.19, 512
0.18, 1024
0.18, 2048
0.18, 1
0.18, 2
0.19, 4
0.18, 8
0.18, 16
0.18, 32
0.19, 64
0.24, 128
0.18, 256
0.19, 512
0.18, 1024
0.19, 2048
0.18, 1
0.18, 2
0.18, 4
0.17, 8
0.12, 16
0.18, 32
0.17, 64
0.24, 128
0.18, 256
0.18, 512
0.23, 1024
0.25, 2048
0.18, 1
0.18, 2
0.19, 4
0.18, 8
0.18, 16
0.19, 32
0.12, 64
0.18, 128
0.18, 256
0.18, 512
0.24, 1024
0.24, 2048
