0.00044107, 1
0.00090289, 2
0.00130367, 4
0.0015161, 8
0.00194478, 16
0.00235987, 32
0.00280476, 64
0.0032053, 128
0.00361443, 256
0.0041883, 512
0.00512218, 1024
0.0066216, 2048
0.00019693, 1
0.00039554, 2
0.00060678, 4
0.00080585, 8
0.00100589, 16
0.00121212, 32
0.00144172, 64
0.00170517, 128
0.00208044, 256
0.00260139, 512
0.00339842, 1024
0.00480366, 2048
0.00018501, 1
0.00037622, 2
0.00060987, 4
0.00080729, 8
0.00100565, 16
0.00121856, 32
0.00144506, 64
0.00170565, 128
0.00203872, 256
0.00253034, 512
0.00335693, 1024
0.00482845, 2048
0.00020862, 1
0.00040317, 2
0.00059295, 4
0.00078845, 8
0.00099182, 16
0.00121975, 32
0.00146484, 64
0.00172663, 128
0.00206399, 256
0.0025506, 512
0.00337839, 1024
0.00476217, 2048
0.000211, 1
0.00046873, 2
0.00072789, 4
0.00094652, 8
0.00115252, 16
0.0014236, 32
0.00168681, 64
0.00198102, 128
0.00234962, 256
0.00286794, 512
0.00368237, 1024
0.00509191, 2048
0.00021482, 1
0.00043225, 2
0.00064993, 4
0.00090003, 8
0.00114036, 16
0.0013659, 32
0.00160813, 64
0.00189781, 128
0.00227499, 256
0.00278425, 512
0.00360847, 1024
0.0050559, 2048
0.00019193, 1
0.00038791, 2
0.00058579, 4
0.00079107, 8
0.00106263, 16
0.00131941, 32
0.00160885, 64
0.00191331, 128
0.00230646, 256
0.00291228, 512
0.0037539, 1024
0.00529885, 2048
0.00021005, 1
0.00042439, 2
0.00061822, 4
0.00081897, 8
0.00102305, 16
0.00123191, 32
0.00146198, 64
0.00173306, 128
0.00207424, 256
0.00257182, 512
0.00341249, 1024
0.00482726, 2048
0.00019073, 1
0.00038242, 2
0.00057292, 4
0.00076842, 8
0.00097179, 16
0.00118375, 32
0.00141358, 64
0.00168443, 128
0.00209045, 256
0.00259304, 512
0.00342059, 1024
0.0048902, 2048
0.00023603, 1
0.00042939, 2
0.0006218, 4
0.00082088, 8
0.00102329, 16
0.00123215, 32
0.00146532, 64
0.00173569, 128
0.00207329, 256
0.0025661, 512
0.00335979, 1024
0.00479674, 2048
